Time (sec),Calculated Load (g/rev),Dyn Adv Mult (DAM),Dynamic Adv (°),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),MAF (g/s),MAF Volt (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.3.1-17014][2005 USDM Impreza WRX][Reflash: Stage2 ACN91 v350 HWG.ptm - Realtime: Stage2 ACN91 v350 HWG.ptm]
55.292,0.21,16,0.00,0.00,0.00,5.00,8.43,1.62,2249,9.26,3.1,0.00,0
55.351,0.22,16,0.00,0.00,0.00,8.00,8.07,1.60,2190,9.11,3.5,0.00,0
55.420,0.22,16,0.00,0.00,0.00,11.50,8.28,1.64,2233,8.89,3.5,0.00,0
55.478,0.22,16,0.00,0.00,0.00,15.00,8.45,1.62,2263,8.86,3.5,0.00,0
55.534,0.22,16,0.00,0.00,0.00,18.50,8.46,1.64,2270,8.82,3.5,0.00,0
55.592,0.22,16,0.00,0.00,0.00,22.00,8.47,1.64,2234,8.80,3.5,0.00,0
55.651,0.23,16,0.00,0.00,0.00,23.50,8.56,1.64,2238,8.80,3.5,0.00,0
55.720,0.23,16,0.00,0.00,0.00,23.50,8.48,1.62,2230,8.80,3.5,0.00,0
55.772,0.22,16,0.00,0.00,0.00,23.50,7.87,1.60,2260,8.74,3.5,0.00,0
55.829,0.22,16,0.00,0.00,0.00,23.00,7.87,1.60,2289,8.70,3.5,0.00,0
55.892,0.22,16,0.00,0.00,0.00,22.50,8.13,1.60,2225,8.74,3.5,0.00,0
55.950,0.23,16,0.00,0.00,0.00,22.50,8.59,1.64,2237,8.72,3.5,0.00,0
56.005,0.23,16,0.00,0.00,0.00,23.50,8.56,1.64,2232,8.68,3.5,0.00,0
56.068,0.23,16,0.00,0.00,0.00,23.00,8.36,1.62,2221,8.70,3.5,0.00,0
56.141,0.23,16,0.00,0.00,0.00,23.50,8.54,1.64,2235,8.66,3.5,0.00,0
56.183,0.23,16,0.00,0.00,0.00,23.50,8.72,1.64,2238,8.64,3.5,0.00,0
56.243,0.23,16,0.00,0.00,0.00,23.50,8.63,1.64,2244,8.66,3.5,0.00,0
56.307,0.23,16,0.00,0.00,0.00,23.50,8.61,1.62,2215,8.66,3.5,0.00,0
56.373,0.23,16,0.00,0.00,0.00,23.50,8.44,1.62,2223,8.66,3.5,0.00,0
56.434,0.23,16,0.00,0.00,0.00,23.50,8.44,1.62,2205,8.62,3.5,0.00,0
56.486,0.23,16,0.00,0.00,0.00,23.50,8.21,1.60,2196,8.60,3.5,0.00,0
56.544,0.23,16,0.00,0.00,0.00,23.00,8.41,1.62,2196,8.57,3.5,0.00,0
56.602,0.23,16,0.00,0.00,0.00,23.50,8.26,1.62,2233,8.60,3.5,0.00,0
56.675,0.23,16,0.00,0.00,0.00,23.00,8.56,1.62,2205,8.62,3.5,0.00,0
56.721,0.23,16,0.00,0.00,0.00,23.50,8.83,1.64,2214,8.57,3.5,0.00,0
56.779,0.23,16,0.00,0.00,0.00,23.50,8.58,1.62,2204,8.59,3.5,0.00,0
56.841,0.23,16,0.00,0.00,0.00,23.50,8.51,1.62,2221,8.57,3.5,0.00,0
56.899,0.23,16,0.00,0.00,0.00,23.50,8.68,1.64,2204,8.57,3.5,0.00,0
56.969,0.23,16,0.00,0.00,0.00,23.50,8.40,1.64,2208,8.51,3.5,0.00,0
57.021,0.24,16,0.00,0.00,0.00,23.50,8.96,1.66,2224,8.57,3.5,0.00,0
57.077,0.24,16,0.00,0.00,0.00,24.00,8.96,1.66,2198,8.53,3.5,0.00,0
57.134,0.24,16,0.00,0.00,0.00,24.00,8.79,1.62,2198,8.53,3.5,0.00,0
57.206,0.23,16,0.00,0.00,0.00,23.50,8.46,1.62,2206,8.53,3.5,0.00,0
57.259,0.24,16,0.00,0.00,0.00,23.50,8.89,1.64,2184,8.47,3.5,0.00,0
57.316,0.24,16,0.00,0.00,0.00,23.50,8.74,1.62,2190,8.49,3.5,0.00,0
57.373,0.24,16,0.00,0.00,0.00,24.00,8.88,1.64,2198,8.49,3.5,0.00,0
57.438,0.24,16,0.00,0.00,0.00,24.00,8.80,1.62,2178,8.45,3.5,0.00,0
57.494,0.24,16,0.00,0.00,0.00,24.00,8.71,1.64,2209,8.45,3.5,0.00,0
57.549,0.24,16,0.00,0.00,0.00,24.00,8.53,1.62,2190,8.47,3.5,0.00,0
57.615,0.23,16,0.00,0.00,0.00,24.00,8.38,1.62,2190,8.47,3.5,0.00,0
57.667,0.23,16,0.00,0.00,0.00,23.50,8.38,1.62,2196,8.43,3.5,0.00,0
57.729,0.24,16,0.00,0.00,0.00,23.50,8.82,1.64,2181,8.47,3.5,0.00,0
57.801,0.23,16,0.00,0.00,0.00,23.50,8.50,1.60,2181,8.47,3.5,0.00,0
57.853,0.24,16,0.00,0.00,0.00,23.50,8.67,1.64,2185,8.43,3.5,0.00,0
57.909,0.24,16,0.00,0.00,0.00,24.00,8.82,1.62,2178,8.47,3.5,0.00,0
57.972,0.24,16,0.00,0.00,0.00,23.50,8.36,1.60,2171,8.45,3.5,0.00,0
58.029,0.24,16,0.00,0.00,0.00,24.00,9.01,1.64,2194,8.37,3.5,0.00,0
58.084,0.24,16,0.00,0.00,0.00,24.00,8.76,1.64,2178,8.45,3.5,0.00,0
58.142,0.24,16,0.00,0.00,0.00,24.50,8.94,1.64,2194,8.45,3.5,0.00,0
58.214,0.24,16,0.00,0.00,0.00,24.50,8.78,1.64,2178,8.39,3.5,0.00,0
58.266,0.25,16,0.00,0.00,0.00,24.50,8.83,1.62,2167,8.41,3.5,0.00,0
58.323,0.24,16,0.00,0.00,0.00,24.50,8.83,1.62,2118,8.39,3.5,0.00,0
58.382,0.24,16,0.00,0.00,0.00,24.00,8.78,1.64,2182,8.39,3.5,0.00,0
58.454,0.24,16,0.00,0.00,0.00,24.00,8.80,1.62,2150,8.37,3.5,0.00,0
58.506,0.24,16,0.00,0.00,0.00,23.50,8.63,1.62,2151,8.41,3.5,0.00,0
58.566,0.24,16,0.00,0.00,0.00,23.50,8.39,1.60,2166,8.35,3.5,0.00,0
58.622,0.24,16,0.00,0.00,0.00,23.50,8.80,1.62,2157,8.37,3.5,0.00,0
58.680,0.24,16,0.00,0.00,0.00,23.50,8.87,1.64,2155,8.37,3.5,0.00,0
58.743,0.25,16,0.00,0.00,0.00,24.50,9.11,1.64,2164,8.35,3.5,0.00,0
58.801,0.25,16,0.00,0.00,0.00,24.50,8.72,1.62,2159,8.35,3.5,0.00,0
58.855,0.24,16,0.00,0.00,0.00,24.50,8.79,1.62,2178,8.37,3.5,0.00,0
58.914,0.24,16,0.00,0.00,0.00,24.00,8.72,1.62,2171,8.39,3.5,0.00,0
58.981,0.24,16,0.00,0.00,0.00,24.00,8.72,1.62,2132,8.37,3.5,0.00,0
59.041,0.24,16,0.00,0.00,0.00,23.50,8.63,1.62,2132,8.41,3.5,0.00,0
59.096,0.24,16,0.00,0.00,0.00,23.50,8.36,1.60,2149,8.41,3.5,0.00,0
59.151,0.24,16,0.00,0.00,0.00,23.50,8.41,1.58,2156,8.39,3.5,0.00,0
59.214,0.24,16,0.00,0.00,0.00,23.50,8.62,1.62,2144,8.47,3.5,0.00,0
